CSV File Name,Original Label,Softmax Output,Predicted Label,Probability Label 1
SotukenA_data_1262.csv,0,"[1.5732135e-07, 0.9999999]",1,0.9999999
SotukenA_data_3592.csv,0,"[2.5376323e-07, 0.99999976]",1,0.99999976
SotukenA_data_2827.csv,0,"[2.0810708e-07, 0.99999976]",1,0.99999976
SotukenA_data_2397.csv,0,"[3.0867417e-07, 0.99999964]",1,0.99999964
SotukenA_data_5694.csv,1,"[3.2155342e-07, 0.99999964]",1,0.99999964
SotukenA_data_9623.csv,1,"[5.575763e-07, 0.9999994]",1,0.9999994
SotukenA_data_3042.csv,0,"[7.4121743e-07, 0.9999993]",1,0.9999993
SotukenA_data_8900.csv,1,"[8.053146e-07, 0.99999917]",1,0.99999917
SotukenA_data_1836.csv,0,"[1.5923958e-06, 0.99999845]",1,0.99999845
SotukenA_data_1186.csv,0,"[2.0489135e-06, 0.999998]",1,0.999998
SotukenA_data_361.csv,0,"[2.605122e-06, 0.9999974]",1,0.9999974
SotukenA_data_10186.csv,0,"[2.7466176e-06, 0.99999726]",1,0.99999726
SotukenA_data_1744.csv,0,"[4.296137e-06, 0.9999957]",1,0.9999957
SotukenA_data_142.csv,0,"[4.5824772e-06, 0.99999547]",1,0.99999547
SotukenA_data_1034.csv,0,"[5.8812493e-06, 0.99999416]",1,0.99999416
SotukenA_data_3235.csv,0,"[6.071968e-06, 0.9999939]",1,0.9999939
SotukenA_data_1894.csv,1,"[6.074273e-06, 0.9999939]",1,0.9999939
SotukenA_data_6541.csv,1,"[6.3810376e-06, 0.99999356]",1,0.99999356
SotukenA_data_6497.csv,1,"[6.483366e-06, 0.99999356]",1,0.99999356
SotukenA_data_7855.csv,1,"[6.708718e-06, 0.9999933]",1,0.9999933
SotukenA_data_1984.csv,1,"[7.1478153e-06, 0.99999285]",1,0.99999285
SotukenA_data_10335.csv,0,"[7.982814e-06, 0.999992]",1,0.999992
SotukenA_data_1912.csv,1,"[8.164298e-06, 0.9999919]",1,0.9999919
SotukenA_data_10322.csv,0,"[8.703835e-06, 0.9999913]",1,0.9999913
SotukenA_data_10454.csv,1,"[9.815641e-06, 0.9999902]",1,0.9999902
SotukenA_data_9111.csv,1,"[1.0007182e-05, 0.99999]",1,0.99999
SotukenA_data_8846.csv,1,"[1.0953854e-05, 0.99998903]",1,0.99998903
SotukenA_data_10505.csv,0,"[1.097054e-05, 0.99998903]",1,0.99998903
SotukenA_data_8359.csv,1,"[1.09898165e-05, 0.99998903]",1,0.99998903
SotukenA_data_2637.csv,1,"[1.1933328e-05, 0.9999881]",1,0.9999881
SotukenA_data_2385.csv,0,"[1.1918212e-05, 0.9999881]",1,0.9999881
SotukenA_data_1720.csv,0,"[1.3239959e-05, 0.99998677]",1,0.99998677
SotukenA_data_1411.csv,1,"[1.3207423e-05, 0.99998677]",1,0.99998677
SotukenA_data_10397.csv,1,"[1.4148418e-05, 0.9999858]",1,0.9999858
SotukenA_data_2167.csv,1,"[1.4187074e-05, 0.9999858]",1,0.9999858
SotukenA_data_223.csv,0,"[1.4185505e-05, 0.9999858]",1,0.9999858
SotukenA_data_2929.csv,0,"[1.5026898e-05, 0.999985]",1,0.999985
SotukenA_data_10368.csv,0,"[1.50933365e-05, 0.99998486]",1,0.99998486
SotukenA_data_8910.csv,1,"[1.5719577e-05, 0.99998426]",1,0.99998426
SotukenA_data_5548.csv,1,"[1.5720403e-05, 0.99998426]",1,0.99998426
SotukenA_data_7760.csv,1,"[1.6254982e-05, 0.9999838]",1,0.9999838
SotukenA_data_5194.csv,1,"[1.7592252e-05, 0.99998236]",1,0.99998236
SotukenA_data_9657.csv,1,"[1.8314366e-05, 0.99998164]",1,0.99998164
SotukenA_data_8940.csv,1,"[2.0628459e-05, 0.9999794]",1,0.9999794
SotukenA_data_8532.csv,1,"[2.3648723e-05, 0.9999764]",1,0.9999764
SotukenA_data_3834.csv,1,"[2.3891e-05, 0.99997616]",1,0.99997616
SotukenA_data_8199.csv,1,"[2.3915753e-05, 0.99997604]",1,0.99997604
SotukenA_data_10545.csv,1,"[2.4362125e-05, 0.9999757]",1,0.9999757
SotukenA_data_3092.csv,0,"[2.5611267e-05, 0.99997437]",1,0.99997437
SotukenA_data_6853.csv,1,"[2.7225855e-05, 0.9999728]",1,0.9999728
SotukenA_data_1851.csv,1,"[2.7138105e-05, 0.9999728]",1,0.9999728
SotukenA_data_1319.csv,0,"[2.8744455e-05, 0.9999713]",1,0.9999713
SotukenA_data_2376.csv,0,"[2.9250246e-05, 0.9999708]",1,0.9999708
SotukenA_data_6778.csv,1,"[2.9474002e-05, 0.99997056]",1,0.99997056
